Chain,Prefecture,Stores,Population,Population_U15,Population_15to64,Population_O65,Consumption_Exp,Food_Exp
Starbucks,Hokkaido,44,5224614,555804,2945727,1664023,301683,77680
Starbucks,Aomori,11,1237984,129112,676167,412943,251881,75325
Starbucks,Iwate,8,1210534,132447,658816,404359,270902,74023
Starbucks,Miyagi,29,2301996,268428,1346845,638984,264817,76291
Starbucks,Akita,8,959502,92673,500687,357568,264922,72763
Starbucks,Yamagata,8,1068027,120086,578819,359554,293536,77254
Starbucks,Fukushima,10,1833152,206152,1020241,572825,268003,72590
Starbucks,Ibaraki,35,2867009,333741,1638165,839907,274520,71373
Starbucks,Tochigi,27,1933146,227553,1115611,554381,279214,75567
Starbucks,Gumma,21,1939110,224304,1096231,576729,289142,77211
Starbucks,Saitama,80,7344765,858384,4335188,1934994,326313,84240
Starbucks,Chiba,76,6284480,734496,3715691,1699991,303193,82761
Starbucks,Tokyo,379,14047594,1566840,8944193,3107822,325010,92079
Starbucks,Kanagawa,119,9237337,1085763,5628918,2308578,295913,84137
Starbucks,Niigata,19,2201272,247480,1210917,715935,273946,75581
Starbucks,Toyama,10,1034814,115177,568052,333008,302233,80185
Starbucks,Ishikawa,12,1132526,137096,641383,333660,299375,79070
Starbucks,Fukui,8,766863,95544,427984,232684,253715,75628
Starbucks,Yamanashi,12,809974,91629,453633,245884,290406,76623
Starbucks,Nagano,26,2048011,242873,1118429,646942,270419,72276
Starbucks,Gifu,19,1978742,240520,1105215,593751,304271,76629
Starbucks,Shizuoka,37,3633202,438723,2071258,1084282,281343,79406
Starbucks,Aichi,125,7542415,973642,4502713,1864603,282283,78351
Starbucks,Mie,20,1770254,211090,997052,522073,285114,73364
Starbucks,Shiga,15,1413610,191369,824781,365311,304172,81180
Starbucks,Kyoto,38,2578087,293465,1467216,734493,253880,79072
Starbucks,Osaka,124,8837685,1029499,5199504,2361723,246247,76729
Starbucks,Hyogo,58,5465002,660205,3075863,1546543,268760,78235
Starbucks,Nara,15,1324473,154271,737675,414576,299627,81275
Starbucks,Wakayama,9,922584,105360,503704,305500,245467,65955
Starbucks,Tottori,4,553407,68330,300002,177046,296669,76348
Starbucks,Shimane,4,671126,81641,352656,227881,294519,73347
Starbucks,Okayama,17,1888432,229352,1032394,557991,262385,72021
Starbucks,Hiroshima,29,2799702,352678,1580054,811931,287257,78956
Starbucks,Yamaguchi,7,1342059,153608,709992,459957,286130,71864
Starbucks,Tokushima,5,719559,77129,375657,238346,295661,76260
Starbucks,Kagawa,13,950244,113757,518056,296533,275267,72102
Starbucks,Ehime,10,1334841,153764,711738,434279,240210,67671
Starbucks,Kochi,6,691527,74946,362200,241787,270206,73830
Starbucks,Fukuoka,62,5135214,662179,2911353,1395142,317047,75372
Starbucks,Saga,10,811442,108241,443579,246061,288604,73552
Starbucks,Nagasaki,9,1312317,164303,706077,430353,253814,67610
Starbucks,Kumamoto,16,1738301,228366,944198,540538,291734,71821
Starbucks,Oita,9,1123852,135272,596527,369192,271369,71027
Starbucks,Miyazaki,7,1069576,139773,568255,344543,261710,71144
Starbucks,Kagoshima,8,1588256,205381,832194,505891,266228,70501
Starbucks,Okinawa,24,1467480,243246,871154,324708,216202,66197
