Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2020,R01000,hokkaido,Hokkaido_Tohoku,5224614,2465088,2759526,5151366,555804,2945727,1664023,29523,1,65078,48494,50418,20904,9070,10,28,-5,905,41743,79404,19071,236396,11576,123129,10158,119773,6636,79409,17011,949,23,479,301683,77680,27305,27309,9227,14251,41407,9394,26539,56316
2020,R02000,aomori,Hokkaido_Tohoku,1237984,583402,654582,1224334,129112,676167,412943,6837,1,17905,16413,21145,4032,1915,12,30,-2,1417,4632,30723,4536,55717,3001,30206,2953,32155,1389,15400,3486,993,14,77,251881,75325,18537,27837,7340,11863,29385,3841,18924,48177
2020,R03000,iwate,Hokkaido_Tohoku,1210534,582952,627582,1194745,132447,658816,404359,6718,1,17204,15663,19530,3918,1679,11,30,-3,1462,5498,28895,4759,56822,2868,30388,2921,31229,1376,11489,2571,908,18,77,270902,74023,24850,27129,7879,13034,40561,6573,20179,46232
2020,R04000,miyagi,Hokkaido_Tohoku,2301996,1122598,1179398,2242701,268428,1346845,638984,14480,1,24632,44078,44242,8921,3553,14,31,1,1247,25704,39497,7881,114086,4875,58381,4536,57157,5113,49410,10891,977,16,109,264817,76291,24121,22717,8369,12655,31760,6955,22245,49899
2020,R05000,akita,Hokkaido_Tohoku,959502,452439,507063,950192,92673,500687,357568,4499,1,15379,10519,13519,2686,1213,13,30,-1,2023,2258,22621,3193,40192,2185,22182,2047,22266,1003,8884,1991,987,15,50,264922,72763,14661,25743,6791,11625,38578,4394,22769,56050
2020,R06000,yamagata,Hokkaido_Tohoku,1068027,516438,551589,1056617,120086,578819,359554,6217,1,15348,11944,15171,3530,1362,13,33,-1,1285,5840,24954,3921,50885,2311,27473,2462,28281,1043,11723,2590,901,13,53,293536,77254,16066,29590,8525,12431,47277,8545,22462,59256
2020,R07000,fukushima,Hokkaido_Tohoku,1833152,903864,929288,1797450,206152,1020241,572825,11215,1,24515,23250,29528,6674,2969,14,34,0,1225,17964,31614,6761,86804,4244,47108,3986,47571,1544,14288,3122,1033,13,102,268003,72590,17053,25553,7490,12341,41888,4019,21190,53859
2020,R08000,ibaraki,Kanto,2867009,1430976,1436033,2763432,333741,1638165,839907,17389,1,32931,45720,47468,10622,4403,15,32,0,1422,21382,57353,9664,139002,5884,72868,5644,74121,3207,30258,6568,969,21,153,274520,71373,15978,22431,8724,11404,44158,6529,23652,59643
2020,R09000,tochigi,Kanto,1933146,964930,968216,1869256,227553,1115611,554381,11808,1,21702,30080,31838,7396,3037,15,34,0,1354,11134,40394,6930,96704,4095,51558,3584,50745,4190,20388,4274,925,16,87,279214,75567,15581,22034,8642,14546,38242,9706,24730,57012
2020,R10000,gumma,Kanto,1939110,959411,979699,1860213,224304,1096231,576729,11660,1,23286,26611,28889,7044,2857,16,35,2,1316,9565,46241,6832,96764,4059,51167,3664,49994,1777,28312,6329,990,14,115,289142,77211,11422,20367,9693,14086,51866,8812,26870,55778
