Chain,Prefecture,Stores,Population,Area_sqkm
Komeda,hokkaido,19,5183,83457
Komeda,aomori,2,1221,9645
Komeda,iwate,5,1196,15279
Komeda,miyagi,10,2290,6862
Komeda,akita,3,945,11636
Komeda,yamagata,6,1055,6652
Komeda,fukushima,6,1812,13783
Komeda,ibaraki,12,2852,6096
Komeda,tochigi,12,1921,6408
Komeda,gumma,9,1927,6362
Komeda,saitama,36,7340,3768
Komeda,chiba,30,6275,5082
Komeda,tokyo,84,14010,2104
Komeda,kanagawa,42,9236,2416
Komeda,niigata,9,2177,10364
Komeda,toyama,5,1025,2046
Komeda,ishikawa,8,1125,4186
Komeda,fukui,7,760,4190
Komeda,yamanashi,4,805,4201
Komeda,nagano,10,2033,13105
Komeda,gifu,29,1961,9768
Komeda,shizuoka,32,3608,7255
Komeda,aichi,212,7517,5116
Komeda,mie,28,1756,5762
Komeda,shiga,16,1411,3767
Komeda,kyoto,19,2561,4613
Komeda,osaka,67,8806,1901
Komeda,hyogo,42,5432,8396
Komeda,nara,12,1315,3691
Komeda,wakayama,9,914,4726
Komeda,tottori,5,549,3507
Komeda,shimane,5,665,6708
Komeda,okayama,8,1876,7010
Komeda,hiroshima,18,2780,8480
Komeda,yamaguchi,9,1328,6114
Komeda,tokushima,6,712,4147
Komeda,kagawa,7,942,1862
Komeda,ehime,9,1321,5679
Komeda,kochi,5,684,7105
Komeda,fukuoka,40,5124,4847
Komeda,saga,3,806,2440
Komeda,nagasaki,5,1297,4106
Komeda,kumamoto,6,1728,7268
Komeda,oita,5,1114,5100
Komeda,miyazaki,5,1061,6795
Komeda,kagoshima,10,1576,9045
Komeda,okinawa,7,1468,2277
Starbucks,hokkaido,44,5183,83457
Starbucks,aomori,11,1221,9645
Starbucks,iwate,8,1196,15279
Starbucks,miyagi,29,2290,6862
Starbucks,akita,8,945,11636
Starbucks,yamagata,8,1055,6652
Starbucks,fukushima,10,1812,13783
Starbucks,ibaraki,35,2852,6096
Starbucks,tochigi,27,1921,6408
Starbucks,gumma,21,1927,6362
Starbucks,saitama,80,7340,3768
Starbucks,chiba,76,6275,5082
Starbucks,tokyo,379,14010,2104
Starbucks,kanagawa,119,9236,2416
Starbucks,niigata,19,2177,10364
Starbucks,toyama,10,1025,2046
Starbucks,ishikawa,12,1125,4186
Starbucks,fukui,8,760,4190
Starbucks,yamanashi,12,805,4201
Starbucks,nagano,26,2033,13105
Starbucks,gifu,19,1961,9768
Starbucks,shizuoka,37,3608,7255
Starbucks,aichi,125,7517,5116
Starbucks,mie,20,1756,5762
Starbucks,shiga,15,1411,3767
Starbucks,kyoto,38,2561,4613
Starbucks,osaka,124,8806,1901
Starbucks,hyogo,58,5432,8396
Starbucks,nara,15,1315,3691
Starbucks,wakayama,9,914,4726
Starbucks,tottori,4,549,3507
Starbucks,shimane,4,665,6708
