Prefecture,Shop,Population
北海道,19,5183
青森県,2,1221
岩手県,5,1196
宮城県,10,2290
秋田県,3,945
山形県,6,1055
福島県,6,1812
茨城県,12,2852
栃木県,12,1921
群馬県,9,1927
埼玉県,36,7340
千葉県,30,6275
東京都,84,14010
神奈川県,42,9236
新潟県,9,2177
富山県,5,1025
石川県,8,1125
福井県,7,760
山梨県,4,805
長野県,10,2033
岐阜県,29,1961
静岡県,32,3608
愛知県,212,7517
三重県,28,1756
滋賀県,16,1411
京都府,19,2561
大阪府,67,8806
兵庫県,42,5432
奈良県,12,1315
和歌山県,9,914
鳥取県,5,549
島根県,5,665
岡山県,8,1876
広島県,18,2780
山口県,9,1328
徳島県,6,712
香川県,7,942
愛媛県,9,1321
高知県,5,684
福岡県,40,5124
佐賀県,3,806
長崎県,5,1297
熊本県,6,1728
大分県,5,1114
宮崎県,5,1061
鹿児島県,10,1576
沖縄県,7,1468
